,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[32],0.879,0.679,-0.273,2.227,0.01,0.011,5808.0,2843.0,1.0
log_tau_participant_raw[33],-0.248,0.682,-1.368,1.021,0.013,0.018,3715.0,2165.0,1.0
log_tau_participant_raw[34],0.754,0.696,-0.395,2.186,0.011,0.012,4764.0,2600.0,1.0
log_tau_participant_raw[35],0.95,0.673,-0.258,2.219,0.01,0.014,5484.0,1791.0,1.0
log_tau_participant_raw[36],-0.029,0.54,-0.891,1.011,0.011,0.014,3411.0,1721.0,1.0
log_tau_participant_raw[37],0.731,0.646,-0.3,2.042,0.011,0.012,4594.0,2459.0,1.0
log_tau_participant_raw[38],-1.013,0.486,-1.902,-0.199,0.013,0.026,2837.0,1259.0,1.0
log_tau_participant_raw[39],-0.702,0.398,-1.361,0.068,0.007,0.012,4610.0,1994.0,1.0
log_tau_participant_raw[40],0.736,0.686,-0.48,2.052,0.01,0.013,5353.0,2699.0,1.0
log_tau_participant_raw[41],0.849,0.66,-0.26,2.116,0.01,0.012,4735.0,2473.0,1.0
log_tau_participant_raw[42],-0.192,0.622,-1.203,1.013,0.013,0.017,3515.0,1833.0,1.0
log_tau_participant_raw[43],0.681,0.701,-0.519,1.991,0.012,0.016,4268.0,2489.0,1.0
log_tau_participant_raw[44],1.044,0.639,-0.025,2.289,0.01,0.013,4786.0,2435.0,1.0
log_tau_participant_raw[45],0.757,0.669,-0.423,1.994,0.01,0.011,5375.0,2791.0,1.0
log_tau_participant_raw[46],0.872,0.633,-0.221,2.002,0.01,0.011,4413.0,2711.0,1.0
log_tau_participant_raw[47],0.608,0.689,-0.617,1.892,0.011,0.012,4596.0,2531.0,1.0
log_tau_participant_raw[48],0.249,0.686,-0.857,1.61,0.013,0.014,4100.0,2321.0,1.0
log_tau_participant_raw[49],0.208,0.693,-0.888,1.517,0.013,0.014,3797.0,2356.0,1.0
log_tau_participant_raw[50],0.931,0.647,-0.139,2.191,0.011,0.013,4221.0,2278.0,1.0
log_tau_participant_raw[51],0.527,0.667,-0.627,1.768,0.012,0.012,3933.0,2743.0,1.0
log_tau_participant_raw[52],0.847,0.682,-0.3,2.191,0.011,0.012,4907.0,2554.0,1.0
log_tau_participant_raw[53],0.1,0.639,-0.94,1.316,0.012,0.014,3832.0,2218.0,1.0
log_tau_participant_raw[54],0.347,0.726,-0.858,1.687,0.013,0.013,4123.0,2650.0,1.0
log_tau_participant_raw[55],-0.237,0.552,-1.164,0.748,0.012,0.018,3270.0,1765.0,1.0
log_tau_participant_raw[56],-0.131,0.639,-1.169,1.058,0.013,0.017,3364.0,2140.0,1.0
log_tau_participant_raw[57],0.391,0.668,-0.688,1.66,0.012,0.014,4105.0,2412.0,1.0
log_tau_participant_raw[58],0.778,0.655,-0.319,2.016,0.011,0.013,4787.0,2315.0,1.0
log_tau_participant_raw[59],0.892,0.629,-0.166,2.09,0.01,0.012,4714.0,2333.0,1.0
log_tau_participant_raw[60],0.559,0.704,-0.63,1.931,0.012,0.012,4055.0,2479.0,1.0
log_tau_participant_raw[61],0.716,0.654,-0.417,1.918,0.011,0.013,4263.0,2281.0,1.0
log_tau_participant_raw[62],-1.04,0.394,-1.787,-0.313,0.006,0.009,4252.0,2220.0,1.0
log_tau_participant_raw[63],-0.163,0.666,-1.216,1.137,0.015,0.018,3149.0,1624.0,1.01
log_tau_participant_raw[64],0.475,0.671,-0.578,1.803,0.011,0.011,4705.0,2951.0,1.0
log_tau_participant_raw[65],0.273,0.673,-0.802,1.589,0.012,0.014,4123.0,2272.0,1.0
log_tau_participant_raw[66],0.661,0.64,-0.399,1.918,0.01,0.011,5423.0,2658.0,1.0
log_tau_participant_raw[67],0.161,0.746,-1.042,1.594,0.013,0.012,4063.0,2832.0,1.0
log_tau_participant_raw[68],-0.626,0.477,-1.456,0.203,0.01,0.016,3628.0,1732.0,1.0
log_tau_participant_raw[69],-1.959,0.546,-2.997,-0.953,0.007,0.01,5979.0,2856.0,1.0
log_tau_participant_raw[70],0.702,0.691,-0.464,2.017,0.012,0.014,3774.0,2330.0,1.0
log_tau_participant_raw[71],0.409,0.687,-0.683,1.755,0.012,0.013,4645.0,2490.0,1.0
log_tau_participant_raw[72],0.125,0.644,-0.906,1.392,0.011,0.014,4343.0,2041.0,1.0
log_tau_participant_raw[73],0.905,0.694,-0.329,2.163,0.011,0.012,4947.0,2692.0,1.0
log_tau_participant_raw[74],-0.718,0.512,-1.505,0.24,0.012,0.022,3016.0,1513.0,1.0
log_tau_participant_raw[75],-0.129,0.869,-1.753,1.405,0.014,0.016,4643.0,2477.0,1.0
log_tau_participant_raw[76],-0.785,0.709,-2.046,0.544,0.011,0.015,5043.0,2407.0,1.0
log_tau_participant_raw[77],0.615,0.679,-0.58,1.879,0.011,0.012,4278.0,2424.0,1.0
log_tau_participant_raw[78],-0.804,0.334,-1.435,-0.223,0.005,0.009,4520.0,2157.0,1.0
log_tau_participant_raw[79],-0.749,0.341,-1.387,-0.115,0.006,0.009,3869.0,2286.0,1.0
log_tau_participant_raw[80],0.671,0.625,-0.424,1.809,0.01,0.012,4845.0,2489.0,1.0
log_tau_participant_raw[81],0.17,0.617,-0.812,1.362,0.011,0.012,4136.0,2676.0,1.0
log_tau_participant_raw[82],-1.934,0.589,-3.033,-0.852,0.009,0.011,4427.0,2438.0,1.0
log_tau_participant_raw[83],0.736,0.667,-0.37,1.993,0.011,0.012,4410.0,2671.0,1.0
log_tau_participant_raw[84],0.047,0.584,-0.919,1.16,0.012,0.014,3288.0,2201.0,1.0
log_tau_participant_raw[85],-0.087,0.666,-1.138,1.19,0.014,0.017,3408.0,2180.0,1.0
log_tau_participant_raw[86],-1.93,0.612,-3.169,-0.856,0.008,0.013,5787.0,2528.0,1.0
log_tau_participant_raw[87],0.337,0.701,-0.859,1.619,0.013,0.014,4592.0,2218.0,1.0
log_tau_participant_raw[88],-1.064,0.356,-1.769,-0.418,0.006,0.007,4308.0,2280.0,1.0
log_tau_participant_raw[89],-1.052,0.415,-1.808,-0.327,0.007,0.015,4268.0,2098.0,1.0
log_tau_participant_raw[90],0.728,0.706,-0.53,2.006,0.011,0.011,4951.0,2841.0,1.0
log_tau_participant_raw[91],-1.729,0.585,-2.827,-0.643,0.008,0.01,5682.0,2726.0,1.0
log_tau_participant_raw[92],0.546,0.691,-0.653,1.817,0.011,0.011,4412.0,2838.0,1.0
log_tau_participant_raw[93],0.119,0.882,-1.444,1.812,0.012,0.014,5310.0,2848.0,1.0
log_tau_participant_raw[94],-0.848,0.477,-1.644,-0.013,0.012,0.022,3077.0,1173.0,1.0
log_tau_participant_raw[95],0.335,0.635,-0.677,1.548,0.013,0.014,3420.0,1954.0,1.01
log_tau_participant_raw[96],-0.551,0.637,-1.567,0.778,0.011,0.014,4306.0,2107.0,1.0
log_tau_participant_raw[97],-0.837,0.423,-1.589,-0.121,0.008,0.015,3643.0,1666.0,1.0
log_tau_participant_raw[98],-0.207,0.73,-1.367,1.239,0.014,0.015,3684.0,2279.0,1.0
log_tau_participant_raw[99],0.486,0.675,-0.661,1.743,0.013,0.013,3743.0,2079.0,1.0
log_tau_participant_raw[100],-0.558,0.359,-1.201,0.136,0.006,0.009,4096.0,1934.0,1.0
log_tau_participant_raw[101],0.805,0.692,-0.451,2.036,0.011,0.012,4759.0,2757.0,1.0
log_tau_participant_raw[102],-0.834,0.457,-1.67,0.02,0.007,0.011,4523.0,2146.0,1.0
log_tau_participant_raw[103],0.182,0.68,-0.883,1.456,0.012,0.015,4414.0,2353.0,1.0
log_tau_participant_raw[104],0.847,0.693,-0.405,2.105,0.011,0.011,5002.0,2904.0,1.0
log_tau_participant_raw[105],-0.444,0.513,-1.312,0.513,0.01,0.017,3859.0,1583.0,1.0
log_tau_participant_raw[106],-0.691,0.4,-1.424,0.037,0.006,0.01,4865.0,2201.0,1.0
log_tau_participant_raw[107],1.045,0.632,-0.027,2.275,0.01,0.011,4556.0,2551.0,1.0
log_tau_participant_raw[108],0.887,0.664,-0.256,2.167,0.01,0.01,5377.0,2879.0,1.0
log_tau_participant_raw[109],-1.161,0.445,-1.931,-0.32,0.009,0.017,3576.0,1979.0,1.0
log_tau_participant_raw[110],-0.835,0.351,-1.472,-0.219,0.006,0.012,4154.0,1838.0,1.0
log_tau_participant_raw[111],-0.867,0.491,-1.796,-0.033,0.01,0.017,3772.0,1741.0,1.0
log_tau_participant_raw[112],-0.42,0.955,-2.197,1.43,0.013,0.018,5774.0,2986.0,1.0
log_tau_participant_raw[113],1.185,0.64,0.137,2.459,0.01,0.014,5089.0,2339.0,1.0
log_tau_participant_raw[114],-0.999,0.506,-1.791,-0.042,0.011,0.02,3261.0,1516.0,1.0
log_tau_participant_raw[115],0.043,0.666,-0.968,1.373,0.013,0.013,3491.0,2272.0,1.0
log_tau_participant_raw[116],0.91,0.651,-0.216,2.148,0.01,0.013,5100.0,2370.0,1.0
log_tau_participant_raw[117],0.298,0.69,-0.843,1.616,0.011,0.012,4715.0,2637.0,1.0
log_tau_participant_raw[118],0.752,0.667,-0.321,2.053,0.012,0.012,4177.0,2294.0,1.0
log_tau_participant_raw[119],-0.78,0.367,-1.463,-0.115,0.007,0.009,3655.0,2164.0,1.0
log_tau_participant_raw[120],-1.959,0.538,-2.985,-0.973,0.008,0.012,5394.0,2193.0,1.0
log_tau_participant_raw[121],-1.215,0.44,-1.985,-0.419,0.009,0.02,4096.0,1836.0,1.0
log_tau_participant_raw[122],-0.7,0.384,-1.413,0.002,0.007,0.011,3836.0,1747.0,1.0
log_tau_participant_raw[123],-1.843,0.533,-2.858,-0.866,0.008,0.01,4573.0,2502.0,1.0
log_tau_participant_raw[124],-1.219,0.395,-1.966,-0.488,0.006,0.006,3990.0,2477.0,1.0
log_tau_participant_raw[125],-1.171,0.399,-1.895,-0.411,0.007,0.011,3819.0,1480.0,1.0
log_tau_participant_raw[126],-1.697,0.581,-2.77,-0.575,0.009,0.012,4671.0,2694.0,1.0
log_tau_participant_raw[127],-0.054,0.504,-0.894,0.881,0.011,0.014,3274.0,2072.0,1.0
log_tau_participant_raw[128],0.306,0.661,-0.73,1.636,0.012,0.014,4485.0,2269.0,1.0
log_tau_participant_raw[129],0.544,0.667,-0.512,1.842,0.011,0.012,5095.0,2502.0,1.0
log_tau_participant_raw[130],-0.498,0.53,-1.364,0.557,0.011,0.017,3636.0,1675.0,1.0
log_tau_participant_raw[131],0.039,0.741,-1.282,1.41,0.012,0.013,4671.0,2630.0,1.0
log_tau_participant_raw[132],-1.201,0.421,-1.992,-0.488,0.007,0.013,4454.0,2393.0,1.0
log_tau_participant_raw[133],-0.219,0.54,-1.063,0.908,0.012,0.015,2919.0,1732.0,1.0
log_tau_participant_raw[134],-0.748,0.661,-1.743,0.596,0.014,0.018,3491.0,1676.0,1.0
log_tau_participant_raw[135],0.823,0.649,-0.305,2.064,0.01,0.012,4826.0,2599.0,1.0
log_tau_participant_raw[136],-0.644,0.452,-1.468,0.208,0.009,0.013,3492.0,1723.0,1.0
log_tau_participant_raw[137],0.285,0.711,-0.896,1.632,0.013,0.013,3685.0,2343.0,1.0
log_tau_participant_raw[138],0.55,0.636,-0.454,1.811,0.011,0.013,4473.0,2530.0,1.0
log_tau_participant_raw[139],-1.222,0.399,-1.996,-0.499,0.007,0.008,4008.0,2226.0,1.0
log_tau_participant_raw[140],0.103,0.662,-0.93,1.383,0.012,0.015,4171.0,2362.0,1.0
log_tau_participant_raw[141],-0.728,0.463,-1.575,0.107,0.009,0.014,3855.0,1593.0,1.0
log_tau_participant_raw[142],0.505,0.662,-0.662,1.695,0.011,0.013,4226.0,2274.0,1.0
log_tau_participant_raw[143],-1.135,0.359,-1.778,-0.464,0.007,0.01,3548.0,2192.0,1.0
log_tau_participant_raw[144],0.673,0.674,-0.47,1.945,0.01,0.012,5007.0,2593.0,1.0
log_tau_participant_raw[145],0.154,0.68,-0.993,1.406,0.013,0.014,3979.0,2294.0,1.0
log_tau_participant_raw[146],0.733,0.661,-0.448,1.974,0.01,0.011,5402.0,2666.0,1.0
log_tau_participant_raw[147],0.674,0.682,-0.519,1.96,0.01,0.011,5171.0,2711.0,1.0
log_tau_participant_raw[148],-0.709,0.392,-1.446,-0.0,0.007,0.01,4045.0,2041.0,1.0
log_tau_participant_raw[149],0.683,0.671,-0.508,1.93,0.011,0.012,4189.0,2395.0,1.0
log_tau_participant_raw[150],-1.869,0.565,-2.986,-0.856,0.008,0.011,5324.0,2694.0,1.0
log_tau_participant_raw[151],-0.502,0.584,-1.453,0.609,0.013,0.02,2979.0,1717.0,1.0
log_tau_participant_raw[152],1.006,0.68,-0.223,2.291,0.01,0.012,5427.0,2447.0,1.0
log_tau_participant_raw[153],0.246,0.675,-0.891,1.481,0.013,0.015,4107.0,2230.0,1.0
log_tau_participant_raw[154],0.237,0.681,-0.832,1.544,0.013,0.013,3164.0,2417.0,1.0
log_tau_participant_raw[155],0.654,0.71,-0.528,2.022,0.011,0.014,4910.0,2368.0,1.0
log_tau_participant_raw[156],0.622,0.691,-0.58,1.881,0.012,0.013,4114.0,2348.0,1.0
log_tau_participant_raw[157],0.72,0.675,-0.419,2.018,0.01,0.011,4833.0,2830.0,1.0
log_tau_participant_raw[158],-1.86,0.545,-2.932,-0.845,0.008,0.011,5282.0,2248.0,1.0
log_tau_participant_raw[159],0.876,0.672,-0.301,2.134,0.011,0.011,4579.0,2817.0,1.0
log_tau_participant_raw[160],0.943,0.648,-0.267,2.042,0.01,0.012,4418.0,2426.0,1.0
log_tau_participant_raw[161],0.376,0.625,-0.653,1.6,0.012,0.014,3716.0,2067.0,1.0
log_tau_participant_raw[162],1.054,0.633,-0.074,2.242,0.01,0.011,4885.0,2792.0,1.0
log_tau_participant_raw[163],-0.947,0.41,-1.686,-0.195,0.007,0.011,4562.0,2055.0,1.0
log_tau_participant_raw[164],0.419,0.658,-0.666,1.678,0.012,0.014,4068.0,2272.0,1.0
log_tau_participant_raw[165],-0.306,0.603,-1.227,0.922,0.012,0.016,3640.0,2030.0,1.0
log_tau_participant_raw[166],0.165,0.695,-1.015,1.397,0.013,0.014,3395.0,2249.0,1.0
log_tau_participant_raw[167],-0.526,0.447,-1.276,0.316,0.009,0.013,3680.0,1708.0,1.0
log_tau_participant_raw[168],0.601,0.676,-0.537,1.853,0.011,0.012,4624.0,2644.0,1.0
log_tau_participant_raw[169],-1.418,0.366,-2.113,-0.74,0.007,0.007,3067.0,2033.0,1.0
log_tau_participant_raw[170],0.566,0.686,-0.613,1.87,0.012,0.013,4113.0,2621.0,1.0
log_tau_participant_raw[171],0.38,0.682,-0.672,1.788,0.013,0.016,3843.0,1982.0,1.0
log_tau_participant_raw[172],-0.569,0.5,-1.421,0.278,0.012,0.02,2639.0,1325.0,1.0
log_tau_participant_raw[173],-1.384,0.384,-2.083,-0.645,0.007,0.008,3167.0,2531.0,1.0
log_tau_participant_raw[174],-0.262,0.531,-1.116,0.76,0.012,0.016,3012.0,1738.0,1.0
log_tau_participant_raw[175],0.167,0.711,-0.919,1.633,0.013,0.013,3825.0,2063.0,1.0
log_tau_participant_raw[176],0.721,0.644,-0.321,2.0,0.01,0.011,5121.0,2682.0,1.0
