,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[40],0.919,0.636,-0.19,2.092,0.009,0.012,7155.0,2491.0,1.0
log_tau_participant_raw[41],0.522,0.658,-0.56,1.8,0.011,0.012,5091.0,2698.0,1.0
log_tau_participant_raw[42],0.86,0.663,-0.274,2.109,0.01,0.014,5780.0,2638.0,1.0
log_tau_participant_raw[43],0.143,0.673,-0.953,1.391,0.011,0.014,4657.0,2613.0,1.0
log_tau_participant_raw[44],-0.195,0.61,-1.136,1.016,0.011,0.014,4307.0,2246.0,1.0
log_tau_participant_raw[45],0.393,0.666,-0.668,1.71,0.011,0.013,4351.0,2853.0,1.0
log_tau_participant_raw[46],0.907,0.621,-0.171,2.082,0.009,0.011,5241.0,2681.0,1.0
log_tau_participant_raw[47],0.754,0.643,-0.359,1.941,0.01,0.012,5761.0,2546.0,1.0
log_tau_participant_raw[48],-1.107,0.393,-1.816,-0.38,0.006,0.011,5088.0,2077.0,1.0
log_tau_participant_raw[49],0.531,0.701,-0.631,1.871,0.011,0.012,5159.0,2769.0,1.0
log_tau_participant_raw[50],0.688,0.66,-0.369,1.943,0.011,0.015,5281.0,2647.0,1.0
log_tau_participant_raw[51],0.149,0.719,-1.07,1.458,0.012,0.014,4365.0,2364.0,1.0
log_tau_participant_raw[52],-0.619,0.445,-1.34,0.281,0.008,0.012,4376.0,1930.0,1.0
log_tau_participant_raw[53],0.977,0.659,-0.18,2.203,0.01,0.012,5278.0,2513.0,1.0
log_tau_participant_raw[54],-0.645,0.454,-1.366,0.222,0.009,0.015,3769.0,1880.0,1.0
log_tau_participant_raw[55],-0.145,0.884,-1.676,1.487,0.013,0.014,5552.0,2688.0,1.0
log_tau_participant_raw[56],-0.735,0.336,-1.349,-0.15,0.005,0.01,5061.0,2150.0,1.0
log_tau_participant_raw[57],0.68,0.627,-0.354,1.877,0.01,0.012,5356.0,2587.0,1.0
log_tau_participant_raw[58],-1.917,0.561,-2.914,-0.855,0.007,0.01,6982.0,2888.0,1.0
log_tau_participant_raw[59],0.743,0.683,-0.399,2.063,0.01,0.012,5471.0,2648.0,1.0
log_tau_participant_raw[60],0.042,0.597,-0.938,1.186,0.012,0.015,4158.0,1944.0,1.0
log_tau_participant_raw[61],-0.016,0.647,-1.008,1.256,0.013,0.014,3711.0,2144.0,1.0
log_tau_participant_raw[62],-1.886,0.581,-2.952,-0.771,0.007,0.012,6700.0,2647.0,1.0
log_tau_participant_raw[63],-1.148,0.368,-1.86,-0.475,0.006,0.007,4586.0,2750.0,1.0
log_tau_participant_raw[64],-1.025,0.394,-1.755,-0.299,0.006,0.011,5729.0,2388.0,1.0
log_tau_participant_raw[65],-1.798,0.595,-2.874,-0.699,0.007,0.011,6772.0,2832.0,1.0
log_tau_participant_raw[66],0.558,0.674,-0.515,1.908,0.01,0.012,5333.0,2814.0,1.0
log_tau_participant_raw[67],0.104,0.892,-1.539,1.744,0.011,0.016,7102.0,2692.0,1.0
log_tau_participant_raw[68],-0.753,0.395,-1.439,-0.017,0.008,0.012,3538.0,1978.0,1.0
log_tau_participant_raw[69],0.306,0.617,-0.651,1.555,0.011,0.013,4077.0,2340.0,1.0
log_tau_participant_raw[70],-0.545,0.676,-1.626,0.821,0.013,0.018,4276.0,1945.0,1.0
log_tau_participant_raw[71],-0.833,0.411,-1.6,-0.077,0.006,0.01,5438.0,2044.0,1.0
log_tau_participant_raw[72],-0.184,0.723,-1.364,1.202,0.013,0.015,4606.0,2244.0,1.0
log_tau_participant_raw[73],0.506,0.694,-0.694,1.789,0.011,0.013,4889.0,2487.0,1.0
log_tau_participant_raw[74],-0.519,0.377,-1.162,0.155,0.008,0.016,4073.0,1714.0,1.0
log_tau_participant_raw[75],-0.773,0.494,-1.658,0.045,0.01,0.019,4105.0,1404.0,1.0
log_tau_participant_raw[76],0.226,0.664,-0.841,1.504,0.011,0.012,4599.0,2542.0,1.0
log_tau_participant_raw[77],0.906,0.668,-0.27,2.11,0.009,0.012,6281.0,2355.0,1.0
log_tau_participant_raw[78],-0.496,0.488,-1.383,0.37,0.009,0.015,4312.0,1736.0,1.0
log_tau_participant_raw[79],-0.709,0.429,-1.469,0.086,0.008,0.014,4126.0,1676.0,1.0
log_tau_participant_raw[80],1.016,0.619,-0.02,2.228,0.008,0.011,6894.0,2871.0,1.0
log_tau_participant_raw[81],0.892,0.655,-0.237,2.134,0.009,0.012,6522.0,2718.0,1.0
log_tau_participant_raw[82],-0.889,0.365,-1.536,-0.208,0.006,0.011,5120.0,2229.0,1.0
log_tau_participant_raw[83],-0.934,0.509,-1.858,-0.031,0.009,0.017,4840.0,2142.0,1.0
log_tau_participant_raw[84],-0.397,0.976,-2.236,1.495,0.012,0.019,7211.0,2760.0,1.0
log_tau_participant_raw[85],1.177,0.636,0.068,2.366,0.008,0.011,7123.0,2696.0,1.0
log_tau_participant_raw[86],-0.897,0.462,-1.726,-0.157,0.011,0.021,3033.0,1499.0,1.01
log_tau_participant_raw[87],0.068,0.654,-0.987,1.321,0.013,0.015,3759.0,2135.0,1.0
log_tau_participant_raw[88],0.906,0.631,-0.239,2.073,0.009,0.01,5498.0,2913.0,1.0
log_tau_participant_raw[89],0.319,0.703,-0.813,1.642,0.011,0.015,5327.0,2676.0,1.0
log_tau_participant_raw[90],-0.808,0.381,-1.434,-0.106,0.007,0.015,4648.0,1738.0,1.0
log_tau_participant_raw[91],-1.154,0.438,-1.904,-0.335,0.008,0.014,4143.0,1878.0,1.0
log_tau_participant_raw[92],-0.712,0.371,-1.374,-0.03,0.006,0.009,4808.0,2240.0,1.0
log_tau_participant_raw[93],-1.903,0.557,-2.984,-0.849,0.007,0.01,5689.0,2806.0,1.0
log_tau_participant_raw[94],-1.237,0.402,-1.962,-0.445,0.006,0.008,5221.0,2751.0,1.0
log_tau_participant_raw[95],-1.145,0.384,-1.816,-0.427,0.007,0.016,4757.0,2115.0,1.0
log_tau_participant_raw[96],-1.704,0.569,-2.766,-0.649,0.007,0.012,6951.0,2586.0,1.0
log_tau_participant_raw[97],-0.068,0.505,-0.904,0.912,0.01,0.014,3706.0,1997.0,1.0
log_tau_participant_raw[98],0.241,0.632,-0.779,1.387,0.011,0.014,4478.0,2599.0,1.0
log_tau_participant_raw[99],0.508,0.65,-0.624,1.703,0.01,0.012,5171.0,2538.0,1.0
log_tau_participant_raw[100],-0.478,0.506,-1.299,0.509,0.009,0.014,4172.0,2089.0,1.0
log_tau_participant_raw[101],-0.699,0.633,-1.692,0.482,0.015,0.022,3291.0,1520.0,1.0
log_tau_participant_raw[102],0.337,0.687,-0.789,1.632,0.011,0.012,4593.0,3079.0,1.0
log_tau_participant_raw[103],-1.212,0.42,-1.945,-0.457,0.008,0.019,4352.0,1973.0,1.0
log_tau_participant_raw[104],0.101,0.661,-1.009,1.344,0.011,0.013,4798.0,2374.0,1.0
log_tau_participant_raw[105],-0.805,0.473,-1.585,0.098,0.01,0.02,3822.0,1364.0,1.0
log_tau_participant_raw[106],0.519,0.66,-0.56,1.797,0.011,0.014,5010.0,2294.0,1.0
log_tau_participant_raw[107],-1.179,0.362,-1.84,-0.508,0.005,0.008,5425.0,2781.0,1.0
log_tau_participant_raw[108],0.756,0.671,-0.412,2.049,0.01,0.011,4957.0,2901.0,1.0
log_tau_participant_raw[109],0.144,0.676,-0.932,1.484,0.013,0.014,4128.0,2547.0,1.0
log_tau_participant_raw[110],0.716,0.696,-0.541,1.996,0.01,0.013,5810.0,2211.0,1.0
log_tau_participant_raw[111],0.699,0.685,-0.436,2.014,0.01,0.011,6137.0,3105.0,1.0
log_tau_participant_raw[112],0.695,0.664,-0.45,1.941,0.01,0.011,5490.0,2799.0,1.0
log_tau_participant_raw[113],-1.839,0.573,-2.933,-0.786,0.008,0.013,5470.0,2079.0,1.0
