,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[68],0.667,0.664,-0.47,1.899,0.011,0.011,3980.0,2875.0,1.0
log_tau_participant_raw[69],0.167,0.869,-1.286,1.963,0.014,0.014,4235.0,2611.0,1.0
log_tau_participant_raw[70],-0.904,0.36,-1.571,-0.258,0.008,0.012,2840.0,1708.0,1.0
log_tau_participant_raw[71],0.463,0.616,-0.524,1.638,0.012,0.013,3199.0,2097.0,1.0
log_tau_participant_raw[72],-0.672,0.632,-1.701,0.525,0.014,0.021,3253.0,1482.0,1.0
log_tau_participant_raw[73],-0.923,0.332,-1.529,-0.292,0.007,0.01,2974.0,1897.0,1.0
log_tau_participant_raw[74],-0.018,0.716,-1.178,1.37,0.015,0.014,3034.0,2236.0,1.0
log_tau_participant_raw[75],0.32,0.665,-0.81,1.561,0.013,0.012,3189.0,2478.0,1.0
log_tau_participant_raw[76],-0.565,0.352,-1.201,0.077,0.007,0.009,3197.0,1867.0,1.0
log_tau_participant_raw[77],-0.883,0.342,-1.533,-0.291,0.006,0.01,3369.0,1839.0,1.0
log_tau_participant_raw[78],-0.0,0.619,-0.957,1.228,0.012,0.015,3634.0,2050.0,1.0
log_tau_participant_raw[79],-0.491,0.505,-1.373,0.448,0.011,0.016,3419.0,1604.0,1.0
log_tau_participant_raw[80],-0.55,0.404,-1.174,0.217,0.01,0.018,2419.0,1177.0,1.0
log_tau_participant_raw[81],1.073,0.624,-0.01,2.238,0.01,0.01,4154.0,2492.0,1.0
log_tau_participant_raw[82],0.677,0.696,-0.475,2.012,0.012,0.012,3904.0,2424.0,1.0
log_tau_participant_raw[83],-1.014,0.494,-1.936,-0.137,0.009,0.014,3990.0,1906.0,1.0
log_tau_participant_raw[84],-0.252,0.842,-1.669,1.402,0.016,0.017,3770.0,2301.0,1.0
log_tau_participant_raw[85],1.219,0.646,0.078,2.402,0.011,0.012,4026.0,2482.0,1.0
log_tau_participant_raw[86],-1.027,0.426,-1.762,-0.309,0.012,0.025,2624.0,1319.0,1.0
log_tau_participant_raw[87],-0.075,0.61,-1.032,1.148,0.015,0.017,2560.0,1498.0,1.0
log_tau_participant_raw[88],0.86,0.643,-0.286,2.06,0.011,0.011,4182.0,2694.0,1.0
log_tau_participant_raw[89],0.261,0.65,-0.83,1.439,0.013,0.014,3658.0,2373.0,1.0
log_tau_participant_raw[90],-0.925,0.32,-1.492,-0.308,0.005,0.007,3735.0,2643.0,1.0
log_tau_participant_raw[91],-2.074,0.518,-3.091,-1.172,0.008,0.011,4623.0,2670.0,1.0
log_tau_participant_raw[92],-1.454,0.361,-2.067,-0.723,0.006,0.007,3595.0,2540.0,1.0
log_tau_participant_raw[93],-0.821,0.345,-1.471,-0.225,0.006,0.009,3476.0,1991.0,1.0
log_tau_participant_raw[94],-0.801,0.327,-1.377,-0.183,0.006,0.01,3654.0,2101.0,1.0
log_tau_participant_raw[95],-1.184,0.361,-1.871,-0.524,0.006,0.007,3526.0,2216.0,1.0
log_tau_participant_raw[96],-1.128,0.343,-1.752,-0.489,0.007,0.01,3182.0,2136.0,1.0
log_tau_participant_raw[97],-1.97,0.51,-2.916,-1.016,0.008,0.01,4400.0,2301.0,1.0
log_tau_participant_raw[98],-0.158,0.501,-0.966,0.725,0.014,0.024,2545.0,1405.0,1.0
log_tau_participant_raw[99],0.366,0.641,-0.688,1.594,0.013,0.012,3364.0,2595.0,1.0
log_tau_participant_raw[100],0.536,0.679,-0.564,1.809,0.012,0.013,3778.0,2500.0,1.0
log_tau_participant_raw[101],-0.622,0.451,-1.325,0.261,0.012,0.02,2307.0,1201.0,1.0
log_tau_participant_raw[102],-0.251,0.51,-1.117,0.693,0.012,0.015,2814.0,1749.0,1.0
log_tau_participant_raw[103],-0.838,0.572,-1.76,0.283,0.013,0.02,3091.0,1404.0,1.0
log_tau_participant_raw[104],0.756,0.638,-0.317,1.993,0.011,0.011,3766.0,2598.0,1.0
log_tau_participant_raw[105],-0.701,0.383,-1.409,-0.055,0.009,0.017,2502.0,1371.0,1.0
log_tau_participant_raw[106],0.452,0.686,-0.676,1.771,0.012,0.011,3731.0,2815.0,1.0
log_tau_participant_raw[107],0.32,0.628,-0.651,1.57,0.014,0.016,3038.0,1924.0,1.0
log_tau_participant_raw[108],-1.337,0.364,-1.981,-0.613,0.007,0.007,3059.0,2330.0,1.0
log_tau_participant_raw[109],-0.959,0.351,-1.571,-0.249,0.006,0.008,3625.0,2206.0,1.0
log_tau_participant_raw[110],0.755,0.636,-0.315,1.967,0.011,0.013,4391.0,2382.0,1.0
log_tau_participant_raw[111],-1.23,0.335,-1.851,-0.601,0.006,0.006,3396.0,2405.0,1.0
log_tau_participant_raw[112],0.668,0.688,-0.504,1.998,0.012,0.011,4226.0,2542.0,1.0
log_tau_participant_raw[113],0.711,0.701,-0.529,2.009,0.011,0.011,4615.0,3056.0,1.0
log_tau_participant_raw[114],0.727,0.696,-0.43,2.095,0.013,0.014,3554.0,2275.0,1.0
log_tau_participant_raw[115],0.837,0.672,-0.344,2.103,0.013,0.013,3358.0,1957.0,1.0
